Name,Email,Phone,Department
Heall McLleese,hmclleese0@pdx.edu,302-506-0162,Computer Science
Karlens Bergstram,kbergstram1@pdx.edu,367-912-8783,Business
Bertina Hustings,bhustings2@pdx.com,316-382-7217,Anthropology
Iorgos Newark,inewark3@pdx.edu,645-903-3664,Geology
Veronica Jovasevic,vjovasevic4@pdx.edu,395-257-7970,European Studies
Kris Poon,kpoon5@pdx.edu,510-692-0405,Judaic Studies
Kerrill Sesons,ksesons6@pdx.edu,287-808-6539,Veteran Services
Allard Troni,atroni7@pdx.edu,109-674-8499,Geography
Lonna Garrad,lgarrad8@pdx.edu,285-695-5993,University Studies
Basile Frise,bfrise9@pdx.edu,923-431-0773,Research & Graduate Studies
